service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS_HBL 23-33133,0,0,0,0,0,1,0,20230909,20230930
ATS_HBL 23-33132,0,0,0,0,0,0,1,20230910,20231001
ATS_HBL 23-34321,0,0,0,0,0,0,1,20230917,20230917
ATS_HBL 23-34320,1,1,1,1,1,0,0,20230918,20230921
ATS_TBS 23-34316,0,0,0,0,0,0,1,20230903,20230917
ATS_TBS 23-34324,1,1,1,1,1,0,0,20230904,20230914
ATS_TBS 23-34318,1,1,1,1,1,0,0,20230908,20230915
ATS_TBS 23-34335,0,0,0,0,0,1,0,20230909,20230916
ATS_TBS 23-34238,1,1,1,1,1,0,0,20231003,20231005
BBL 23_24-33204,1,1,1,1,1,0,0,20230829,20231027
BCC 23_24-33560,1,1,1,1,0,0,0,20230829,20231026
BCC 23_24-33561,0,0,0,0,1,0,0,20230901,20231027
BCC 23_24-34347,0,0,0,0,0,1,0,20230902,20230902
BCC 23_24-33563,0,0,0,0,0,0,1,20230903,20231022
BCC 23_24-33562,0,0,0,0,0,1,0,20230909,20231028
BITS 23_24-33239,1,1,1,1,1,0,0,20230829,20231027
BITS 23_24-33239-0000100,0,0,0,0,1,0,0,20230829,20231027
BITS 23_24-33237,0,0,0,0,0,1,0,20230902,20231028
BITS 23_24-33238,0,0,0,0,0,0,1,20230903,20231022
CDC 23_24-34280,1,1,1,1,1,0,0,20230829,20231027
BT 23_24-34267,1,1,1,1,1,0,0,20230829,20231027
BT 23_24-34267-1111000,1,1,1,1,0,0,0,20230829,20231027
BT 23_24-34267-0000100,0,0,0,0,1,0,0,20230829,20231027
BT 23_24-34267-1000000,1,0,0,0,0,0,0,20230829,20231027
BT 23_24-34267-0111100,0,1,1,1,1,0,0,20230829,20231027
BT 23_24-34279,0,0,0,0,0,1,0,20230902,20230902
BT 23_24-34270,0,0,0,0,0,0,1,20230903,20231022
BT 23_24-34282,0,0,0,0,0,1,0,20230909,20230916
BT 23_24-34277,1,1,1,1,1,0,0,20230918,20230922
BT 23_24-34277-0000100,0,0,0,0,1,0,0,20230918,20230922
BT 23_24-34277-1111000,1,1,1,1,0,0,0,20230918,20230922
BT 23_24-34275,0,0,0,0,0,1,0,20230923,20231028
BT 23_24-34273,1,1,1,1,1,0,0,20230925,20230929
BT 23_24-34273-0000100,0,0,0,0,1,0,0,20230925,20230929
BT 23_24-34273-1111000,1,1,1,1,0,0,0,20230925,20230929
