service_id,date,exception_type
ATS_HBL 23-33132,20230917,2
ATS_TBS 23-34324,20230908,2
ATS_TBS 23-34318,20230911,2
ATS_TBS 23-34318,20230912,2
ATS_TBS 23-34318,20230913,2
ATS_TBS 23-34318,20230914,2
BBL 23_24-33204,20231002,2
BCC 23_24-33560,20231002,2
BCC 23_24-33563,20231002,1
BITS 23_24-33239,20231002,2
BITS 23_24-33239-0000100,20231002,2
BITS 23_24-33238,20231002,1
CDC 23_24-34280,20230901,2
CDC 23_24-34280,20230918,2
CDC 23_24-34280,20230919,2
CDC 23_24-34280,20230920,2
CDC 23_24-34280,20230921,2
CDC 23_24-34280,20230922,2
CDC 23_24-34280,20230925,2
CDC 23_24-34280,20230926,2
CDC 23_24-34280,20230927,2
CDC 23_24-34280,20230928,2
CDC 23_24-34280,20230929,2
CDC 23_24-34280,20231002,2
BT 23_24-34267,20230918,2
BT 23_24-34267-1111000,20230918,2
BT 23_24-34267-0000100,20230918,2
BT 23_24-34267-1000000,20230918,2
BT 23_24-34267-0111100,20230918,2
BT 23_24-34267,20230919,2
BT 23_24-34267-1111000,20230919,2
BT 23_24-34267-0000100,20230919,2
BT 23_24-34267-1000000,20230919,2
BT 23_24-34267-0111100,20230919,2
BT 23_24-34267,20230920,2
BT 23_24-34267-1111000,20230920,2
BT 23_24-34267-0000100,20230920,2
BT 23_24-34267-1000000,20230920,2
BT 23_24-34267-0111100,20230920,2
BT 23_24-34267,20230921,2
BT 23_24-34267-1111000,20230921,2
BT 23_24-34267-0000100,20230921,2
BT 23_24-34267-1000000,20230921,2
BT 23_24-34267-0111100,20230921,2
BT 23_24-34267,20230922,2
BT 23_24-34267-1111000,20230922,2
BT 23_24-34267-0000100,20230922,2
BT 23_24-34267-1000000,20230922,2
BT 23_24-34267-0111100,20230922,2
BT 23_24-34267,20230925,2
BT 23_24-34267-1111000,20230925,2
BT 23_24-34267-0000100,20230925,2
BT 23_24-34267-1000000,20230925,2
BT 23_24-34267-0111100,20230925,2
BT 23_24-34267,20230926,2
BT 23_24-34267-1111000,20230926,2
BT 23_24-34267-0000100,20230926,2
BT 23_24-34267-1000000,20230926,2
BT 23_24-34267-0111100,20230926,2
BT 23_24-34267,20230927,2
BT 23_24-34267-1111000,20230927,2
BT 23_24-34267-0000100,20230927,2
BT 23_24-34267-1000000,20230927,2
BT 23_24-34267-0111100,20230927,2
BT 23_24-34267,20230928,2
BT 23_24-34267-1111000,20230928,2
BT 23_24-34267-0000100,20230928,2
BT 23_24-34267-1000000,20230928,2
BT 23_24-34267-0111100,20230928,2
BT 23_24-34267,20230929,2
BT 23_24-34267-1111000,20230929,2
BT 23_24-34267-0000100,20230929,2
BT 23_24-34267-1000000,20230929,2
BT 23_24-34267-0111100,20230929,2
BT 23_24-34267,20231002,2
BT 23_24-34267-1111000,20231002,2
BT 23_24-34267-0000100,20231002,2
BT 23_24-34267-1000000,20231002,2
BT 23_24-34267-0111100,20231002,2
BT 23_24-34268,20231002,1
CBL 23_24-33284,20230901,2
CBL 23_24-33284-0001000,20230901,2
CBL 23_24-33284,20230918,2
CBL 23_24-33284-0001000,20230918,2
CBL 23_24-33284,20230919,2
CBL 23_24-33284-0001000,20230919,2
CBL 23_24-33284,20230920,2
CBL 23_24-33284-0001000,20230920,2
CBL 23_24-33284,20230921,2
CBL 23_24-33284-0001000,20230921,2
CBL 23_24-33284,20230922,2
CBL 23_24-33284-0001000,20230922,2
CBL 23_24-33284,20230925,2
CBL 23_24-33284-0001000,20230925,2
CBL 23_24-33284,20230926,2
CBL 23_24-33284-0001000,20230926,2
CBL 23_24-33284,20230927,2
CBL 23_24-33284-0001000,20230927,2
CBL 23_24-33284,20230928,2
CBL 23_24-33284-0001000,20230928,2
CBL 23_24-33284,20230929,2
CBL 23_24-33284-0001000,20230929,2
CBL 23_24-33284,20231002,2
CBL 23_24-33284-0001000,20231002,2
CBL 23_24-33283,20231002,1
GUNM 23-33029,20230925,2
GUNM 23-33029,20230926,2
GUNM 23-33029,20230927,2
GUNM 23-33029,20230928,2
GUNM 23-33029,20230929,2
GUNM 23-33029,20231002,2
HBL 23_24-33831,20230901,2
HBL 23_24-33831,20230918,2
HBL 23_24-33831,20230919,2
HBL 23_24-33831,20230920,2
HBL 23_24-33831,20230921,2
HBL 23_24-33831,20230922,2
HBL 23_24-33831,20230925,2
HBL 23_24-33831,20230926,2
HBL 23_24-33831,20230927,2
HBL 23_24-33831,20230928,2
HBL 23_24-33831,20230929,2
HBL 23_24-33831,20231002,2
HBL 23_24-33830,20230904,2
HBL 23_24-33830,20230905,2
HBL 23_24-33830,20230906,2
HBL 23_24-33830,20230907,2
HBL 23_24-33830,20230908,2
HBL 23_24-33830,20230911,2
HBL 23_24-33830,20230912,2
